puhoc ,prefLabel ,ysoLinkLab ,ysoBroaderLab 
http://www.yso.fi/onto/puho/ph1752 ,sulautetut järjestelmät ,tietotekniikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1752 ,sulautetut järjestelmät ,tietotekniikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1754 ,suojaetäisyys ,etäisyys ,fyysiset ominaisuudet 
http://www.yso.fi/onto/puho/ph1790 ,meteorologia ,geofysiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1790 ,meteorologia ,geofysiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1814 ,tietokonevirukset ,haittaohjelmat ,tekniset objektit (abstraktit objektit) 
http://www.yso.fi/onto/puho/ph1814 ,tietokonevirukset ,haittaohjelmat ,tietokoneohjelmat 
http://www.yso.fi/onto/puho/ph1820 ,vankileirit ,leirit ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1820 ,vankileirit ,leirit ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph1823 ,keskitysleirit ,leirit ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1823 ,keskitysleirit ,leirit ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph1830 ,meripelastus ,vesipelastus ,keskinäinen toiminta 
http://www.yso.fi/onto/puho/ph1830 ,meripelastus ,vesipelastus ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph1830 ,meripelastus ,vesipelastus ,toiminta 
http://www.yso.fi/onto/puho/ph1841 ,pelko (tunteet) ,tunteet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1841 ,pelko (tunteet) ,tunteet ,mentaaliset objektit 
http://www.yso.fi/onto/puho/ph1847 ,teollisuuspolitiikka ,talouspolitiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1847 ,teollisuuspolitiikka ,talouspolitiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1849 ,kansallispäivät ,juhlapäivät ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph1856 ,seismologia ,geofysiikka ,järjestelmät 
http://www.yso.fi/onto/puho/ph1856 ,seismologia ,geofysiikka ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1873 ,kenttäkokeet ,kokeet ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph1877 ,asiakastyytyväisyys ,tyytyväisyys ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1877 ,asiakastyytyväisyys ,tyytyväisyys ,mentaaliset objektit 
http://www.yso.fi/onto/puho/ph1895 ,sotateollisuus ,teollisuus ,järjestelmät 
http://www.yso.fi/onto/puho/ph1895 ,sotateollisuus ,teollisuus ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1896 ,aseteollisuus ,teollisuus ,järjestelmät 
http://www.yso.fi/onto/puho/ph1896 ,aseteollisuus ,teollisuus ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1900 ,epäorgaaninen kemia ,kemia ,järjestelmät 
http://www.yso.fi/onto/puho/ph1900 ,epäorgaaninen kemia ,kemia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1902 ,etiikka ,filosofia ,järjestelmät 
http://www.yso.fi/onto/puho/ph1902 ,etiikka ,filosofia ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1904 ,energia ,fysikaaliset ilmiöt ,tapahtumat ja toiminta 
http://www.yso.fi/onto/puho/ph1928 ,materiaalihallinto ,hallinto ,järjestelmät 
http://www.yso.fi/onto/puho/ph1928 ,materiaalihallinto ,talous ,järjestelmät 
http://www.yso.fi/onto/puho/ph1928 ,materiaalihallinto ,hallinto ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1928 ,materiaalihallinto ,talous ,yhteiskunnalliset järjestelmät 
http://www.yso.fi/onto/puho/ph1935 ,yksilönvapaus ,perusoikeudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1935 ,yksilönvapaus ,perusoikeudet ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph1936 ,sananvapaus ,perusoikeudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph1936 ,sananvapaus ,perusoikeudet ,yhteiskunnalliset objektit 
http://www.yso.fi/onto/puho/ph1946 ,itsenäisyyspäivät ,juhlapäivät ,yhteiskunnalliset tapahtumat 
http://www.yso.fi/onto/puho/ph195 ,sotilasavustukset ,sosiaalietuudet ,abstraktit objektit 
http://www.yso.fi/onto/puho/ph195 ,sotilasavustukset ,sosiaalietuudet ,yhteiskunnalliset objektit 
